#bitsize(pq) p q pq median
15 127 211 26797 0.003596650502004195
15 127 223 28321 0.0034322069950576406
15 127 233 29591 0.003401281501282938
15 127 241 30607 0.0032517254985577893
15 131 149 19519 0.0035289810002723243
15 131 157 20567 0.003375413998583099
15 131 173 22663 0.003394097999262158
15 131 181 23711 0.003367838500707876
15 131 191 25021 0.00344778100043186
15 131 193 25283 0.0036520190005830955
15 131 197 25807 0.0033882050011015963
15 131 199 26069 0.0037145725000300445
15 131 211 27641 0.003583141002309276
15 131 227 29737 0.003506380999169778
15 137 139 19043 0.0036629249989346135
15 137 151 20687 0.0034606030021677725
15 137 157 21509 0.003753881494048983
15 137 163 22331 0.00346805899971514
15 137 229 31373 0.003433808498812141
15 137 233 31921 0.003515292002703063
15 139 139 19321 0.004157651001150953
15 139 157 21823 0.0033778855031414423
15 139 163 22657 0.0035516764983185567
15 139 173 24047 0.0032226164985331707
15 139 179 24881 0.002679920999071328
15 139 181 25159 0.0030140825001581106
15 139 199 27661 0.0023569939949084073
15 139 211 29329 0.0026594305018079467
15 139 227 31553 0.0027133264957228675
15 139 229 31831 0.0023601789980602916
15 139 233 32387 0.003258871496655047
15 149 157 23393 0.004043368502607336
15 149 163 24287 0.003390442499949131
15 149 173 25777 0.0036173929984215647
15 149 179 26671 0.003614383498643292
15 149 181 26969 0.003792309002164984
15 149 197 29353 0.0040252574981423095
15 149 199 29651 0.003446850500040455
15 149 211 31439 0.003455419500824064
15 151 179 27029 0.0035517990036169067
15 151 181 27331 0.0034222169997519813
15 151 211 31861 0.0035683345013239887
15 157 163 25591 0.0036044630032847635
15 157 179 28103 0.0023895859994809143
15 157 181 28417 0.0031129265007621143
15 157 191 29987 0.003346009001688799
15 157 197 30929 0.0035596240013546776
15 157 199 31243 0.0032882739978958853
15 163 179 29177 0.003835249997791834
15 163 197 32111 0.0033497275035188068
15 163 199 32437 0.003403815000638133
15 167 173 28891 0.002793091000057757
15 167 181 30227 0.003374357500433689
16 131 251 32881 0.003975264495238662
16 131 257 33667 0.004474944998946739
16 131 263 34453 0.004337340000347467
16 131 269 35239 0.004631498501112219
16 131 311 40741 0.004419944001710974
16 131 359 47029 0.003836711501207901
16 131 373 48863 0.004318366998631973
16 131 401 52531 0.004495236000366276
16 131 419 54889 0.004993938498955686
16 131 487 63797 0.0042307365001761355
16 137 271 37127 0.004573828999127727
16 137 281 38497 0.0050964639958692715
16 137 293 40141 0.00479403999997885
16 137 313 42881 0.004832414499105653
16 137 331 45347 0.004800296999746934
16 137 349 47813 0.0046297215012600645
16 137 373 51101 0.004205064997222507
16 137 389 53293 0.004299342999729561
16 137 431 59047 0.004235885502566816
16 137 439 60143 0.004228956498991465
16 139 241 33499 0.00386665550104226
16 139 257 35723 0.004324911496951245
16 139 263 36557 0.004340267001680331
16 139 293 40727 0.004118660002859542
16 139 317 44063 0.004378716999781318
16 139 353 49067 0.004508236499532359
16 139 359 49901 0.004672050999943167
16 139 383 53237 0.004525252501480281
16 149 241 35909 0.003964249499404104
16 149 251 37399 0.0038272464989859145
16 149 257 38293 0.004256526499375468
16 149 311 46339 0.004690705998655176
16 149 349 52001 0.004489865510549862
16 149 379 56471 0.004581011995469453
16 149 389 57961 0.004819335001229774
16 149 421 62729 0.004729322998173302
16 149 439 65411 0.00427455850149272
16 151 271 40921 0.0046672905154991895
16 151 283 42733 0.0038728789986635093
16 151 307 46357 0.004820477501198184
16 151 313 47263 0.004467312497581588
16 151 337 50887 0.004550552497676108
16 151 347 52397 0.00439048900079797
16 151 433 65383 0.0036903694999637082
16 157 251 39407 0.0036336595039756503
16 157 263 41291 0.004959448498993879
16 157 277 43489 0.004612616001395509
16 157 311 48827 0.004530351998255355
16 157 347 54479 0.004577409999910742
16 157 389 61073 0.004812498998944648
16 167 199 33233 0.004315965998102911
16 167 233 38911 0.0039474529985454865
16 167 239 39913 0.004421321998961503
16 167 293 48931 0.004550085999653675
16 167 307 51269 0.004389046000142116
16 167 379 63293 0.004493023996474221
16 179 193 34547 0.0034081710000464227
16 179 227 40633 0.00424605199805228
16 179 229 40991 0.0036805780000577215
16 179 241 43139 0.003921223000361351
16 179 349 62471 0.004395317497255746
16 181 199 36019 0.003990815002907766
16 181 227 41087 0.003912447496986715
16 181 307 55567 0.004236418997606961
16 181 347 62807 0.004735077996883774
16 191 199 38009 0.003910734500095714
16 191 257 49087 0.004527885001152754
16 191 269 51379 0.0037659334993804805
16 191 317 60547 0.004727768002339872
16 191 331 63221 0.004195953497401206
16 193 211 40723 0.003888906998327002
16 193 233 44969 0.004176987498794915
16 193 271 52303 0.0038203744989004917
16 193 281 54233 0.004788049995113397
16 193 283 54619 0.004636372999812011
16 193 293 56549 0.0045846749999327585
16 193 311 60023 0.004327933500462677
16 193 317 61181 0.004424804999871412
16 197 211 41567 0.0037090414953127038
16 197 269 52993 0.0049511955003254116
16 197 277 54569 0.004943848001857987
16 199 211 41989 0.003077770503296051
16 199 229 45571 0.003870671000186121
16 199 239 47561 0.0038058185018599033
16 199 263 52337 0.004473454999242676
16 211 227 47897 0.004079687503690366
16 211 257 54227 0.004340899002272636
16 211 271 57181 0.004484119999688119
16 211 293 61823 0.004116971998882946
16 223 263 58649 0.004388729503261857
16 227 227 51529 0.005022145498514874
16 227 233 52891 0.003887539503921289
16 227 251 56977 0.004053392003697809
16 229 251 57479 0.0036566465023497585
16 229 257 58853 0.004673474501032615
16 229 271 62059 0.004304194499127334
16 233 263 61279 0.0045939879964862484
16 233 281 65473 0.003958072000386892
16 241 251 60491 0.00387681600113865
16 241 263 63383 0.004329557003075024
17 137 487 66719 0.0049445314980403055
17 139 509 70751 0.004429461499967147
17 149 463 68987 0.004711213001428405
17 149 509 75841 0.004883500001596985
17 151 461 69611 0.004593645000568358
17 151 491 74141 0.004622853499313351
17 157 419 65783 0.004836294498090865
17 157 439 68923 0.004723458499938715
17 157 487 76459 0.004429339500347851
17 163 421 68623 0.005013294496166054
17 163 439 71557 0.0050201345002278686
17 163 461 75143 0.00467525900239707
17 167 439 73313 0.005417731998022646
17 167 443 73981 0.004770908974023769
17 173 419 72487 0.004765416499139974
17 173 449 77677 0.005131090998474974
17 179 373 66767 0.004832773498492315
17 179 457 81803 0.004890260497631971
17 181 367 66427 0.004533477997028967
17 181 397 71857 0.0051454794956953265
