#bitsize(pq) p q pq mean
16 157 263 41291 0.004043609218206257
16 157 277 43489 0.004901442211121321
16 157 311 48827 0.005252789403311908
16 157 347 54479 0.003769502404611558
16 157 389 61073 0.005803459987509996
16 167 199 33233 0.003302963206078857
16 167 233 38911 0.004719330999068916
16 167 239 39913 0.0033480099868029357
16 167 293 48931 0.004578480590134859
16 167 307 51269 0.0046412903815507885
16 167 379 63293 0.0029443027917295693
16 179 193 34547 0.003798495209775865
16 179 227 40633 0.003433443186804652
16 179 229 40991 0.0036413868074305356
16 179 241 43139 0.004027062212117016
16 179 349 62471 0.004310263006482273
16 181 199 36019 0.0029893009923398495
16 181 227 41087 0.0037326478050090373
16 181 307 55567 0.0028481282060965896
16 181 347 62807 0.0030755172017961742
16 191 199 38009 0.005051738594193012
16 191 257 49087 0.004441676021087915
16 191 269 51379 0.004912097996566445
16 191 317 60547 0.0036758242058567703
16 191 331 63221 0.004637607606127858
16 193 211 40723 0.0055915683973580595
16 193 233 44969 0.004832517786417157
16 193 271 52303 0.0048251203959807755
16 193 281 54233 0.003956460405606777
16 193 283 54619 0.004256399010773748
16 193 293 56549 0.003721195983234793
16 193 311 60023 0.00502536881249398
16 193 317 61181 0.003934468806255609
16 197 211 41567 0.0034829390118829907
16 197 269 52993 0.007126899797003716
16 197 277 54569 0.004557509801816195
16 199 211 41989 0.004483605397399515
16 199 229 45571 0.0037948299781419338
16 199 239 47561 0.004068737395573408
16 199 263 52337 0.0037797573837451636
16 211 227 47897 0.004878094000741839
16 211 257 54227 0.004701987409498542
16 211 271 57181 0.003740848205052316
16 211 293 61823 0.004783705389127135
16 223 263 58649 0.004091676604002714
16 227 227 51529 0.005938013608101755
16 227 233 52891 0.0051992324064485725
16 227 251 56977 0.003541220386978239
16 229 251 57479 0.0036053787916898727
16 229 257 58853 0.004662011610344052
16 229 271 62059 0.004289080598391592
16 233 263 61279 0.004919168609194458
16 233 281 65473 0.00447531221434474
16 241 251 60491 0.003318808996118605
16 241 263 63383 0.004288680001627654
17 137 487 66719 0.004635352606419474
17 139 509 70751 0.0051219857996329665
17 149 463 68987 0.004940594208892435
17 149 509 75841 0.0040501571958884595
17 151 461 69611 0.004261248605325818
17 151 491 74141 0.003191422193776816
17 157 419 65783 0.00538514539366588
17 157 439 68923 0.00707170139066875
17 157 487 76459 0.005417527793906629
17 163 421 68623 0.003534077201038599
17 163 439 71557 0.004912298417184502
17 163 461 75143 0.004855246201623231
17 167 439 73313 0.005024820589460433
17 167 443 73981 0.0042299603926949205
17 173 419 72487 0.004002754797693342
17 173 449 77677 0.004331574391108007
17 179 373 66767 0.006002543016802519
17 179 457 81803 0.004431227408349514
17 181 367 66427 0.004474529612343759
17 181 397 71857 0.004772230994421989
17 181 409 74029 0.004391510784626007
17 181 487 88147 0.004061326803639531
17 191 401 76591 0.004975229199044406
17 191 443 84613 0.004208437399938703
17 191 503 96073 0.005745572992600501
17 193 347 66971 0.005666837003082037
17 193 419 80867 0.00484866660553962
17 193 503 97079 0.005594981787726283
17 197 337 66389 0.0034901853883638977
17 197 359 70723 0.005752522591501474
17 197 439 86483 0.0036649696063250302
17 199 401 79799 0.0046315373969264325
17 199 409 81391 0.003657513589132577
17 199 463 92137 0.004751250415574759
17 211 317 66887 0.006263125187251717
17 211 337 71107 0.0047614875831641255
17 211 347 73217 0.004780814389232546
17 211 461 97271 0.005052926007192582
17 211 499 105289 0.005389691214077175
17 223 353 78719 0.0043590273940935734
17 223 457 101911 0.004486410017125309
17 223 479 106817 0.0055965246050618585
17 223 499 111277 0.004619846609421075
17 227 313 71051 0.0042737145908176895
17 227 353 80131 0.0033564434037543834
17 227 359 81493 0.004788645775988698
17 227 499 113273 0.005984218011144548
17 229 313 71677 0.0031946286209858952
17 229 397 90913 0.006053570797666908
17 229 457 104653 0.004348993580788374
17 233 347 80851 0.00515041621401906
17 233 397 92501 0.004785336018539965
17 233 461 107413 0.004060550988651812
17 239 347 82933 0.005107017001137137
17 239 421 100619 0.004962858592625708
17 239 467 111613 0.00476334459381178
17 241 313 75433 0.005163967388216406
17 241 337 81217 0.004858793609309941
17 241 373 89893 0.004504597187042237
17 241 383 92303 0.004607524815946817
17 241 463 111583 0.003954461810644716
17 251 311 78061 0.0043387388112023475
17 251 373 93623 0.007954842189792543
17 251 401 100651 0.00421729099471122
17 251 419 105169 0.00324516020482406
17 251 467 117217 0.004462214396335184
17 257 317 81469 0.006125019211322069
17 257 347 89179 0.004359332390595228
17 257 349 89693 0.005527519586030394
17 257 359 92263 0.004386657197028398
17 263 331 87053 0.004399780591484159
17 263 421 110723 0.0057372272247448565
17 269 311 83659 0.0031528034014627337
17 269 349 93881 0.004702443396672607
17 269 373 100337 0.00432753098430112
17 269 463 124547 0.004502730013336986
17 269 479 128851 0.004546095605473965
17 269 487 131003 0.0029117246042005716
17 271 379 102709 0.005564257805235684
17 271 397 107587 0.007029598997905851
17 277 337 93349 0.0034059797995723783
17 277 409 113293 0.0041047059930861
17 277 421 116617 0.006475690589286387
17 281 439 123359 0.0032845710287801922
17 283 283 80089 0.0040191006031818684
17 283 439 124237 0.00542842639843002
17 283 457 129331 0.004481815197505057
17 293 293 85849 0.0075957291992381215
17 293 307 89951 0.004371241398621351
17 293 317 92881 0.005724793393164873
17 293 373 109289 0.006575743190478533
17 293 397 116321 0.005443348607514054
17 293 409 119837 0.003844760009087622
17 307 317 97319 0.004327707190532238
17 307 373 114511 0.004386620200239122
17 307 421 129247 0.004759465798269957
17 311 389 120979 0.0053957535768859085
17 311 419 130309 0.0054221961880102755
17 331 347 114857 0.004337229987140745
17 347 367 127349 0.004721530398819595
18 257 617 158569 0.007682578382082283
18 257 647 166279 0.00940454100491479
18 257 809 207913 0.00677421260625124
18 263 499 131237 0.0051565102068707345
18 263 613 161219 0.008221358607988805
18 263 619 162797 0.007230156403966248
18 263 631 165953 0.010204827191773801
18 269 821 220849 0.006414462591055781
