#n p q pq seed time
17 251 467 117217 18 0.001853875997767318
17 257 317 81469 44 0.001937299999553943
17 257 347 89179 12 0.002046122001047479
17 257 349 89693 63 0.00196203800078365
17 257 359 92263 63 0.0018131010001525283
17 263 331 87053 58 0.0019817819993477315
17 263 421 110723 7 0.0019567409981391393
17 269 311 83659 94 0.00197676700190641
17 269 349 93881 35 0.0020857500021520536
17 269 373 100337 77 0.002111027999490034
17 269 463 124547 80 0.0017783770017558709
17 269 479 128851 91 0.0018848170002456754
17 269 487 131003 61 0.0019068830006290227
17 271 379 102709 77 0.001878505001513986
17 271 397 107587 14 0.0019114030001219362
17 277 337 93349 92 0.002070190999802435
17 277 409 113293 64 0.0019075390009675175
17 277 421 116617 7 0.0021156609982426744
17 281 439 123359 97 0.0020226909982739016
17 283 283 80089 6 0.0019057130011788104
17 283 439 124237 100 0.0020240329977241345
17 283 457 129331 18 0.0020876939997833688
17 293 293 85849 22 0.0018873689987231046
17 293 307 89951 43 0.0019535979990905616
17 293 317 92881 55 0.002230183999927249
17 293 373 109289 96 0.0021375430005718954
17 293 397 116321 61 0.0020921229988744017
17 293 409 119837 85 0.001959149998583598
17 307 317 97319 69 0.0019414390008023474
17 307 373 114511 43 0.002078808000078425
17 307 421 129247 43 0.0020002990022476297
17 311 389 120979 69 0.0019078530021943152
17 311 419 130309 33 0.002058403999399161
17 331 347 114857 62 0.0021973940019961447
17 347 367 127349 16 0.001807541000744095
18 257 617 158569 65 0.002302286997291958
18 257 647 166279 41 0.002075632000924088
18 257 809 207913 52 0.0023172430010163225
18 263 499 131237 4 0.002101652997225756
18 263 613 161219 13 0.0026230840012431145
18 263 619 162797 17 0.0021736589987995103
18 263 631 165953 57 0.0021622090025630314
18 269 821 220849 63 0.002006923001317773
18 269 967 260123 62 0.0019145250007568393
18 271 601 162871 69 0.002213588999438798
18 271 661 179131 69 0.002221222999651218
18 271 829 224659 21 0.0019708630024979357
18 271 857 232247 19 0.0026125660006073304
18 271 859 232789 32 0.0021537739994528238
18 277 547 151519 74 0.002360918999329442
18 277 599 165923 13 0.0022191680000105407
18 277 643 178111 5 0.002049864997388795
18 277 719 199163 42 0.0022242049999476876
18 277 761 210797 52 0.002287826999236131
18 277 787 217999 5 0.002175112000259105
18 277 811 224647 57 0.0022428920019592624
18 277 829 229633 63 0.002087163997202879
18 277 919 254563 93 0.002143158002581913
18 281 523 146963 11 0.0020084299976588227
18 281 631 177311 53 0.002362294999329606
18 281 727 204287 97 0.002092951999657089
18 283 691 195553 32 0.0019484110016492195
18 283 739 209137 96 0.0023686419990553986
18 283 797 225551 52 0.0018910200014943257
18 283 827 234041 71 0.0021522470015042927
18 293 521 152653 17 0.002348150999750942
18 293 523 153239 30 0.002124168000591453
18 293 593 173749 81 0.0020710380013042595
18 293 877 256961 22 0.0019186310018994845
18 307 607 186349 83 0.002110688998072874
18 307 653 200471 79 0.0022541519974765833
