#bitsize(pq) p q pq std
16 199 211 41989 0.004172407919544083
16 199 229 45571 0.00797085953577556
16 199 239 47561 0.009773312255310378
16 199 263 52337 0.012887176731310922
16 211 227 47897 0.003908496891012948
16 211 257 54227 0.007839490922245134
16 211 271 57181 0.00013629797111061316
16 211 293 61823 0.0003465775557405896
16 223 263 58649 0.006480524863898136
16 227 227 51529 0.010191274005608698
16 227 233 52891 0.00040364349861920926
16 227 251 56977 5.6176649186198734e-05
16 229 251 57479 0.007990473741632103
16 229 257 58853 0.0004874748226829567
16 229 271 62059 0.00039722121815252074
16 233 263 61279 0.00011242703830624338
16 233 281 65473 0.008089235712754293
16 241 251 60491 2.577530555490263e-05
16 241 263 63383 0.006495259392603568
17 137 487 66719 0.00021996372518844596
17 139 509 70751 0.00034712438120187327
17 149 463 68987 0.00035791028746921696
17 149 509 75841 0.0004160377698499677
17 151 461 69611 0.0003891427983011301
17 151 491 74141 0.006643165903499801
17 157 419 65783 0.006456908786220957
17 157 439 68923 0.006462196509082168
17 157 487 76459 0.007901908113860314
17 163 421 68623 0.007887156328862792
17 163 439 71557 0.00038461238703654495
17 163 461 75143 0.012878191637396513
17 167 439 73313 0.0003604041358350148
17 167 443 73981 0.00045757840752259725
17 173 419 72487 0.006463155202129173
17 173 449 77677 0.012900386187240436
17 179 373 66767 0.006561949121774246
17 179 457 81803 6.033665134114142e-05
17 181 367 66427 0.00024389354291838274
17 181 397 71857 0.0065952192395183715
17 181 409 74029 0.00033171446422126005
17 181 487 88147 0.0003610393465406571
17 191 401 76591 0.006609183127556418
17 191 443 84613 0.0004890159069677161
17 191 503 96073 0.00032071224112372907
17 193 347 66971 0.00010211781834991841
17 193 419 80867 0.007941714926905772
17 193 503 97079 0.007964950880179879
17 197 337 66389 0.007933381461453379
17 197 359 70723 0.007909468137789418
17 197 439 86483 0.008606489598864148
17 199 401 79799 0.0064617063573312195
17 199 409 81391 0.00788507022300796
17 199 463 92137 0.00012306650952825053
17 211 317 66887 0.012729044190487438
17 211 337 71107 0.00795283607524875
17 211 347 73217 0.00044139436709820287
17 211 461 97271 0.00039946023251184563
17 211 499 105289 0.00026800520021977704
