#bitsize(pq) p q pq min
16 139 317 44063 0.06427804101258516
16 139 353 49067 0.03206752397818491
16 139 359 49901 0.06440109096001834
16 139 383 53237 0.06462337699485943
16 149 241 35909 0.03232005098834634
16 149 251 37399 0.016004344972316176
16 149 257 38293 0.06432432000292465
16 149 311 46339 0.06421574001433328
16 149 349 52001 0.06428675900679082
16 149 379 56471 0.06418774201301858
16 149 389 57961 0.06429498305078596
16 149 421 62729 0.03207517502596602
16 149 439 65411 0.032112495973706245
16 151 271 40921 0.06425657100044191
16 151 283 42733 0.06424388999585062
16 151 307 46357 0.06427867099409923
16 151 313 47263 0.06431956903543323
16 151 337 50887 0.06445153901586309
16 151 347 52397 0.06431223399704322
16 151 433 65383 0.06485374900512397
16 157 251 39407 0.03237499401438981
16 157 263 41291 0.06418407097226009
16 157 277 43489 0.06431884196354076
16 157 311 48827 0.06416089297272265
16 157 347 54479 0.06432606402086094
16 157 389 61073 0.0320897750207223
16 167 199 33233 0.015905347012449056
16 167 233 38911 0.03266246401472017
16 167 239 39913 0.015902047976851463
16 167 293 48931 0.06507710204459727
16 167 307 51269 0.06450609496096149
16 167 379 63293 0.06452964601339772
16 179 193 34547 0.016128154995385557
16 179 227 40633 0.03262424696004018
16 179 229 40991 0.03221514500910416
16 179 241 43139 0.015937293996103108
16 179 349 62471 0.06421278399648145
16 181 199 36019 0.03206356294685975
16 181 227 41087 0.015988409984856844
16 181 307 55567 0.06526594801107422
16 181 347 62807 0.064287580025848
16 191 199 38009 0.03301216202089563
16 191 257 49087 0.0642023230320774
16 191 269 51379 0.06432712002424523
16 191 317 60547 0.06456393498228863
16 191 331 63221 0.06432509596925229
16 193 211 40723 0.03225947997998446
16 193 233 44969 0.03242682199925184
16 193 271 52303 0.06463885004632175
16 193 281 54233 0.0643985680071637
16 193 283 54619 0.06439626397332177
16 193 293 56549 0.06511910998960957
16 193 311 60023 0.06427110999356955
16 193 317 61181 0.06406745698768646
16 197 211 41567 0.015970866021234542
