#bitsize(pq) p q pq std
21 953 1777 1693481 0.0
21 971 1097 1065187 0.0
21 971 1567 1521557 0.0
21 971 1637 1589527 0.0
21 977 1439 1405903 0.0
21 977 2039 1992103 0.0
21 983 1301 1278883 0.0
21 983 1601 1573783 0.0
21 991 1951 1933441 0.0
21 1021 1031 1052651 0.0
21 1033 1039 1073287 0.0
21 1049 1187 1245163 0.0
21 1049 1277 1339573 0.0
21 1049 1601 1679449 0.0
21 1051 1471 1546021 0.0
21 1061 1543 1637123 0.0
21 1061 1579 1675319 0.0
21 1061 1777 1885397 0.0
21 1061 1949 2067889 0.0
21 1063 1861 1978243 0.0
21 1069 1607 1717883 0.0
21 1069 1699 1816231 0.0
21 1069 1723 1841887 0.0
21 1091 1637 1785967 0.0
21 1091 1901 2073991 0.0
21 1093 1697 1854821 0.0
21 1093 1723 1883239 0.0
21 1097 1721 1887937 0.0
21 1103 1259 1388677 0.0
21 1153 1217 1403201 0.0
21 1153 1447 1668391 0.0
21 1163 1381 1606103 0.0
21 1171 1553 1818563 0.0
21 1187 1423 1689101 0.0
21 1187 1459 1731833 0.0
21 1187 1753 2080811 0.0
21 1193 1361 1623673 0.0
21 1193 1367 1630831 0.0
21 1201 1481 1778681 0.0
21 1213 1669 2024497 0.0
21 1223 1259 1539757 0.0
21 1229 1481 1820149 0.0
21 1249 1447 1807303 0.0
21 1259 1319 1660621 0.0
21 1259 1523 1917457 0.0
21 1277 1399 1786523 0.0
21 1279 1451 1855829 0.0
21 1297 1489 1931233 0.0
21 1301 1409 1833109 0.0
21 1301 1459 1898159 0.0
21 1307 1559 2037613 0.0
21 1367 1453 1986251 0.0
21 1381 1451 2003831 0.0
21 1381 1481 2045261 0.0
21 1409 1429 2013461 0.0
22 1039 3769 3915991 0.0
22 1049 2551 2675999 0.0
22 1049 2957 3101893 0.0
22 1049 3061 3210989 0.0
22 1051 3593 3776243 0.0
22 1061 2309 2449849 0.0
22 1063 2677 2845651 0.0
22 1069 3767 4026923 0.0
